subject,question_text,option_a,option_b,option_c,option_d,correct_answer
Mathematics,What is non-response bias?,1/n.,Green's Theorem.,It must involve two or more independent variables.,"It occurs when survey participants are unable or unwilling to respond, leading to a biased sample.",D
Mathematics,What is the mathematical operation for the convolution of two continuous-time signals h(t) and g(t)?,h(t) * g(t).,Fail to reject the null hypothesis.,The dependent variable and its derivatives appear only to the first power and are not multiplied together.,Gauss's Law for magnetism is a special case of the Divergence Theorem.,A
Mathematics,What is the Divergence Theorem?,3.,It is the output y(t) of a system when the input is a unit impulse δ(t) and all initial conditions are zero.,∫∫_S F · dS = ∫∫∫_V (∇ · F) dV. It relates the flux through a closed surface to the divergence within the volume.,Fail to reject the null hypothesis.,C
Mathematics,"What is the directional derivative of Φ = xyz in the direction of (1, 0, 0)?","yz at the point, which is the result of the dot product between the gradient (yz, xz, xy) and the unit vector (1, 0, 0).",Truncation error.,"(0, 0, 0).",It decreases.,A
Mathematics,What is the formula for the Z-transform of a discrete-time signal x[n]?,The zeros are the roots of the numerator polynomial. The number of poles is equal to the order of the denominator polynomial.,It must involve two or more independent variables.,The direction of the gradient vector at that point.,X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,D
Mathematics,"In a discrete-time system (z-plane), where must the poles be located for stability?",h(t) * g(t).,Inside the unit circle.,The F-test.,When the sample size is too small to detect an actual effect.,B
Mathematics,What property of the Laplace Transform is expressed by L{af(t)+bg(t)} = aF(s)+bG(s)?,"(0, 0, 0).",h(t) * g(t).,The Linearity Property.,P(A|B) = P(A ∩ B) / P(B).,C
Mathematics,"In numerical integration, how can accuracy be improved?",By increasing the number of steps or decreasing the step size.,P(A ∪ B) = P(A) + P(B) − P(A ∩ B).,It is a matrix containing all the first-order partial derivatives of a vector-valued function.,"It causes a decaying exponential response, leading to stability.",A
Mathematics,Which distribution models the number of successes in a fixed number of independent Bernoulli trials?,Mean Square Between Groups (Treatment) divided by Mean Square Within Groups (Error).,The Binomial distribution.,A decaying response.,h(t) * g(t).,B
Mathematics,"What is the curl of the vector field F = (x, y, z)?",Gauss's Law for magnetism is a special case of the Divergence Theorem.,G(s) / [1 + G(s)H(s)].,"(0, 0, 0).","σ²/n, where σ² is the population variance and n is the sample size.",C
Mathematics,"What is the divergence of the vector field F = (x, y, z)?",If all poles lie in the left half of the s-plane.,X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,Fail to reject the null hypothesis.,3.,D
Mathematics,What is a solution of a PDE that contains arbitrary functions called?,It increases.,The General Solution.,P(A ∪ B) = P(A) + P(B) − P(A ∩ B).,"The system becomes more stable, with a faster transient decay.",B
Mathematics,What is the relationship between convolution and cross correlation?,"∇Φ = (∂Φ/∂x, ∂Φ/∂y, ∂Φ/∂z).",It represents the area of the parallelogram formed by the two vectors.,The General Solution.,"Convolution involves time reversal of one signal, while cross-correlation does not.",D
Mathematics,"The birthday paradox shows that in a group of 23 people, what is the approximate probability of a shared birthday?",About 50%.,To determine the stability of a closed-loop control system for different values of a gain parameter.,Their dot product is zero.,"The system becomes more stable, with a faster transient decay.",A
Mathematics,What is the transient response of a control system?,P(A|B) = P(A ∩ B) / P(B).,Beta (β) is the probability of making a Type II error (failing to reject a false null hypothesis).,The part of the response that exists before it reaches a steady state.,X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,C
Mathematics,What is the effect of having poles in the left half of the s-plane on the time-domain response?,"It causes a decaying exponential response, leading to stability.",The Binomial distribution.,The dependent variable and its derivatives appear only to the first power and are not multiplied together.,"(0, 0, 0).",A
Mathematics,"In hypothesis testing, what is the conclusion if the p-value is greater than alpha (α)?",The variance becomes four times larger (it quadruples).,They are the roots of the denominator polynomial of the transfer function.,It is perpendicular (normal) to the level surface.,Fail to reject the null hypothesis.,D
Mathematics,What is a major source of error in representing signals numerically?,The variance becomes four times larger (it quadruples).,Truncation error.,The F-test.,An odd function.,B
Mathematics,What is the autocorrelation function of x(t)=sin(2πft)?,The Curl Theorem.,"(2, 2, 2).",Rxx(τ) = (1/2) cos(2πfτ).,"A combination of exponential and constant functions, or more generally, functions whose derivatives are proportional to themselves.",C
Mathematics,What happens to the width of a confidence interval when the sample size increases?,It becomes narrower.,0.,"X(z) = 1 / (1 − az⁻¹), for |z| > |a|.",About 50%.,A
Mathematics,What theorem states that at least (1 − 1/k²) of data lies within k standard deviations of the mean?,Truncation error.,Chebyshev's Inequality.,"Σ(from n=0 to ∞) x^n, for |x| < 1.",It generally increases the probability of a Type II error.,B
Mathematics,What is a defining requirement for a Partial Differential Equation (PDE)?,P(A ∪ B) = P(A) + P(B) − P(A ∩ B).,It is perpendicular (normal) to the level surface.,It must involve two or more independent variables.,"It is a geometrical property of a cross-section, also known as the Area Moment of Inertia, which predicts the resistance to bending and deflection.",C
Mathematics,Which of the following is TRUE regarding Green's and Stokes' Theorems?,It increases.,Exponential functions.,Cross-correlation is similar to convolution without the time-reversal of one of the signals.,Green's Theorem is a special case of Stokes' Theorem in two dimensions.,D
Mathematics,What happens to the probability of a Type II error when the probability of a Type I error is made very low?,The zeros are the roots of the numerator polynomial. The number of poles is equal to the order of the denominator polynomial.,It increases.,Gauss's Law for magnetism is a special case of the Divergence Theorem.,"yz at the point, which is the result of the dot product between the gradient (yz, xz, xy) and the unit vector (1, 0, 0).",B
Mathematics,What is the Second Moment of Area also known as?,A periodic continuous-time signal as a sum of sinusoidal harmonics.,Green's Theorem is a special case of Stokes' Theorem in two dimensions.,Linear approximation.,Area Moment of Inertia.,D
Mathematics,"If the significance level (α) is 0.05, what does it represent?",The probability of rejecting the null hypothesis (H₀) when it is actually true (Type I error).,It gives the maximum theoretical rate for error-free data transmission over a channel with a given bandwidth and signal-to-noise ratio.,"Σ(from n=0 to ∞) x^n, for |x| < 1.",A matrix of first-order partial derivatives of a vector-valued function.,A
Mathematics,What does the directional derivative in a vector field represent?,They are called the zeros of the closed-loop system.,P(A|B) = [P(B|A) * P(A)] / P(B).,The rate of change of the field quantity in a specified direction.,It is a method that approximates the derivative of a function using discrete data points.,C
Mathematics,A Fourier series with only sine terms represents what kind of function?,An odd function.,The zeros are the roots of the numerator polynomial. The number of poles is equal to the order of the denominator polynomial.,"(0, 0, 2x − 2y).",Gauss's Law for magnetism is a special case of the Divergence Theorem.,A
Mathematics,What does the Fourier Series represent?,The Curl Theorem.,1/n.,"∇Φ = (∂Φ/∂x, ∂Φ/∂y, ∂Φ/∂z).",A periodic continuous-time signal as a sum of sinusoidal harmonics.,D
Mathematics,What is the effect of poles in the left-half of the s-plane on the transient response?,It decreases.,A decaying response.,It represents the area of the parallelogram formed by the two vectors.,"Convolution involves time reversal of one signal, while cross-correlation does not.",B
Mathematics,"If the standard deviation of a dataset is doubled, what happens to the variance?",It becomes wider.,X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,The variance becomes four times larger (it quadruples).,It decreases (becomes narrower).,C
Mathematics,"In hypothesis testing, the significance level (β) is the probability of what?",Beta (β) is the probability of making a Type II error (failing to reject a false null hypothesis).,Gauss's Law for magnetism is a special case of the Divergence Theorem.,∫ r² dA.,Area Moment of Inertia.,A
Mathematics,"Find the divergence of the vector field F = (x², y², z²).",h(t) * g(t).,2x + 2y + 2z.,Calculating the flux of a vector field through a closed surface.,P(A ∪ B) = P(A) + P(B) − P(A)P(B).,B
Mathematics,What is the use of poles and zeros in a system analysis?,"∇Φ = (∂Φ/∂x, ∂Φ/∂y, ∂Φ/∂z).",An odd function.,"They are used to determine stability, and analyze transient and frequency response.",X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,C
Mathematics,What is the operation x[-n] called?,P(A|B) = P(A ∩ B) / P(B).,Mean Square Between Groups (Treatment) divided by Mean Square Within Groups (Error).,"yz at the point, which is the result of the dot product between the gradient (yz, xz, xy) and the unit vector (1, 0, 0).",Time reversal.,D
Mathematics,What is the effect of moving a pole further to the left in the s-plane?,The probability of rejecting the null hypothesis (H₀) when it is actually true (Type I error).,"The system becomes more stable, with a faster transient decay.","For a system described in state-space form, the poles are the eigenvalues of the system matrix.","It causes a decaying exponential response, leading to stability.",B
Mathematics,What does the Fourier Transform convert?,There is no evidence that the group means are different; they are similar.,Laplace's Equation.,A periodic continuous-time signal as a sum of sinusoidal harmonics.,A signal from the Time Domain to the Frequency Domain.,D
Mathematics,What determines the transient response of a control system?,The poles of the system's transfer function.,It must involve two or more independent variables.,G(s) / [1 + G(s)H(s)].,Calculating the flux of a vector field through a closed surface.,A
Mathematics,What theorem states that the sampling distribution of the sample mean approximates a normal distribution for a large sample size?,Rxx(τ) = (1/2) cos(2πfτ).,"Steady-state potential fields, such as in electrostatics or fluid flow.",The Central Limit Theorem (CLT).,P(A|B) = P(A ∩ B) / P(B).,C
Mathematics,What is another name for Stokes' Theorem?,The Curl Theorem.,There is no evidence that the group means are different; they are similar.,It relates the flux of a vector field through a closed surface to the divergence of that field within the enclosed volume.,Inside the unit circle.,A
Mathematics,What happens to the confidence interval width as the sample size increases?,It becomes narrower.,Time reversal.,P(A') = 1 − P(A).,It decreases (becomes narrower).,D
Mathematics,What is the formula for Stokes' Theorem?,Chebyshev's Inequality.,∮_C F · dr = ∬_S (∇ × F) · dS.,It is used to solve First Order Linear Differential Equations.,Area Moment of Inertia.,B
Mathematics,What is the formula for the directional derivative of a scalar field V in the direction of unit vector â?,It increases.,It becomes wider.,∇V · â.,"(0, 0, 0).",C
Mathematics,Which theorem relates a line integral around a closed curve to a double integral over the enclosed region?,Green's Theorem.,The Superposition Principle.,Time reversal.,Exponential functions.,A
Mathematics,"In an ANOVA table, how is the F-ratio calculated?",The median is 1 (the middle value when sorted).,Mean Square Between Groups (Treatment) divided by Mean Square Within Groups (Error).,"Σ(from n=0 to ∞) x^n, for |x| < 1.","(0, 0, 2x − 2y).",B
Mathematics,What is the general form of the solution to a linear differential equation?,To approximate the derivatives of functions from discrete data.,When the sample size is too small to detect an actual effect.,"A combination of exponential and constant functions, or more generally, functions whose derivatives are proportional to themselves.",The zeros are the roots of the numerator polynomial. The number of poles is equal to the order of the denominator polynomial.,C
Mathematics,A system with two complex conjugate poles is typically:,The Linearity Property.,0.,"Convolution involves time reversal of one signal, while cross-correlation does not.",Underdamped.,D
Mathematics,The poles of a system determine the:,"It causes a decaying exponential response, leading to stability.",Transient response.,∮_C F · dr = ∬_S (∇ × F) · dS.,The dependent variable and its derivatives appear only to the first power and are not multiplied together.,B
Mathematics,What is the primary application of the Divergence Theorem?,Area Moment of Inertia.,If all poles lie in the left half of the s-plane.,When the direction is parallel to the gradient vector.,Calculating the flux of a vector field through a closed surface.,D
Mathematics,What is the formula for Green's Theorem in the plane?,∮_C (P dx + Q dy) = ∬_D (∂Q/∂x − ∂P/∂y) dA.,It relates the flux of a vector field through a closed surface to the divergence of that field within the enclosed volume.,Green's Theorem is a special case of Stokes' Theorem in two dimensions.,It becomes less oscillatory (the resonance peak decreases).,A
Mathematics,"What is the curl of the vector field F = (y², x², z²)?",∫∫_S F · dS = ∫∫∫_V (∇ · F) dV. It relates the flux through a closed surface to the divergence within the volume.,Area Moment of Inertia.,"(0, 0, 2x − 2y).",To approximate the derivatives of functions from discrete data.,C
Mathematics,What does it mean for two vectors to be orthogonal?,Their dot product is zero.,The median is 1 (the middle value when sorted).,P(A ∩ B) = 0.,"It causes a decaying exponential response, leading to stability.",A
Mathematics,"If the variance doubles, what happens to the standard deviation?",X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,"A combination of exponential and constant functions, or more generally, functions whose derivatives are proportional to themselves.",Rxx(τ) = (1/2) cos(2πfτ).,It increases by a factor of √2.,D
Mathematics,When is a discrete-time system causal?,It is perpendicular (normal) to the level surface.,If its output at any time depends only on the present and past values of the input.,It is a method that approximates the derivative of a function using discrete data points.,If all poles lie in the left half of the s-plane.,B
Mathematics,What defines a linear differential equation?,A parabolic arc.,The Curl Theorem.,The dependent variable and its derivatives appear only to the first power and are not multiplied together.,It is the output y(t) of a system when the input is a unit impulse δ(t) and all initial conditions are zero.,C
Mathematics,When is the directional derivative of a scalar field maximum?,When the direction is parallel to the gradient vector.,Laplace's Equation.,It generally increases the probability of a Type II error.,By increasing the number of steps or decreasing the step size.,A
Mathematics,Which fundamental law is derived using the Divergence Theorem in electromagnetics?,∮_C F · dr = ∬_S (∇ × F) · dS.,Gauss's Law.,The direction of the gradient vector at that point.,"σ²/n, where σ² is the population variance and n is the sample size.",B
Mathematics,Which of the following is TRUE about Gauss's Law and the Divergence Theorem?,"(2, 2, 2).",Chebyshev's Inequality.,Gauss's Law for magnetism is a special case of the Divergence Theorem.,Green's Theorem.,C
Mathematics,"As the damping ratio increases, what happens to the frequency response?",Time reversal.,"It occurs when survey participants are unable or unwilling to respond, leading to a biased sample.","A combination of exponential and constant functions, or more generally, functions whose derivatives are proportional to themselves.",It becomes less oscillatory (the resonance peak decreases).,D
Mathematics,What is the equation for the gradient of a scalar field Φ?,Linear approximation.,"∇Φ = (∂Φ/∂x, ∂Φ/∂y, ∂Φ/∂z).",Gauss's Law for magnetism is a special case of the Divergence Theorem.,Area Moment of Inertia.,B
Mathematics,What is the variance of the sample mean?,0.,Area Moment of Inertia.,The rate of change of the field quantity in a specified direction.,"σ²/n, where σ² is the population variance and n is the sample size.",D
Mathematics,"What is the divergence of the vector field F = (0, 0, 0)?",0.,It decreases (becomes narrower).,It generally increases the probability of a Type II error.,"(0, 0, 2x − 2y).",A
Mathematics,"As the damping ratio increases, what happens to the peak overshoot?",3.,Cross-correlation is similar to convolution without the time-reversal of one of the signals.,It decreases.,To determine the stability of a closed-loop control system for different values of a gain parameter.,C
Mathematics,What is the significance of the Divergence Theorem?,It relates the flux of a vector field through a closed surface to the divergence of that field within the enclosed volume.,It must involve two or more independent variables.,"Steady-state potential fields, such as in electrostatics or fluid flow.",The Superposition Principle.,A
Mathematics,"In a one-way ANOVA, what does it suggest if the F-statistic is smaller than 1?",1/n.,A straight line segment (linear approximation).,P(A ∩ B) = 0.,There is no evidence that the group means are different; they are similar.,D
Mathematics,"As the damping ratio decreases, what happens to the settling time?",They are the roots of the denominator polynomial of the transfer function.,It increases.,Truncation error.,A matrix of first-order partial derivatives of a vector-valued function.,B
Mathematics,"What is the formula for the median of a dataset {1,1,1,2,3}?","It causes a decaying exponential response, leading to stability.",It is the output y(t) of a system when the input is a unit impulse δ(t) and all initial conditions are zero.,The median is 1 (the middle value when sorted).,∮_C (P dx + Q dy) = ∬_D (∂Q/∂x − ∂P/∂y) dA.,C
Mathematics,Which of the following represents the mean of a binomial distribution?,μ = n × p.,P(A|B) = [P(B|A) * P(A)] / P(B).,"A combination of exponential and constant functions, or more generally, functions whose derivatives are proportional to themselves.",A system with 2 poles and no zeros.,A
Mathematics,"What is the gradient of Φ = x² + y² + z² at the point (1,1,1)?",About 50%.,"(2, 2, 2).",It increases.,The dependent variable and its derivatives appear only to the first power and are not multiplied together.,B
Mathematics,When is a Type II error most likely to occur?,The Superposition Principle.,The ratio of the Laplace transform of the output to the Laplace transform of the input.,When the sample size is too small to detect an actual effect.,The Diffusion Equation or Heat Equation.,C
Mathematics,A linear system with distinct real eigenvalues has a solution composed of what?,It gives the maximum theoretical rate for error-free data transmission over a channel with a given bandwidth and signal-to-noise ratio.,P(A ∩ B) = 0.,A decaying response.,Exponential functions.,D
Mathematics,What is the direction of the gradient vector relative to a level surface?,"The system becomes more stable, with a faster transient decay.",It is perpendicular (normal) to the level surface.,Transient response.,The Linearity Property.,B
Mathematics,What is a Jacobian matrix?,A parabolic arc.,It is a matrix containing all the first-order partial derivatives of a vector-valued function.,P(A ∩ B) = 0.,A matrix of first-order partial derivatives of a vector-valued function.,D
Mathematics,"As the confidence level increases (e.g., from 95% to 99%), what happens to the confidence interval?",It becomes wider.,X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,It must involve two or more independent variables.,It is the probability of rejecting the null hypothesis when it is actually true (Type I error).,A
Mathematics,What is the formula for the probability of the union of two events?,It is a matrix containing all the first-order partial derivatives of a vector-valued function.,"The system becomes more stable, with a faster transient decay.",P(A ∪ B) = P(A) + P(B) − P(A ∩ B).,P(A ∩ B) = P(A) × P(B).,C
Mathematics,Stokes' Theorem is dependent on what?,The orientation of the surface and its boundary curve.,It must involve two or more independent variables.,"Steady-state potential fields, such as in electrostatics or fluid flow.",The t-test.,A
Mathematics,What is the general formula for the second moment of inertia with respect to a distance r?,Time reversal.,There is no evidence that the group means are different; they are similar.,The variance becomes four times larger (it quadruples).,∫ r² dA.,D
Mathematics,What pole-zero configuration gives a root locus with an asymptote angle of 90°?,"Σ(from n=0 to ∞) x^n, for |x| < 1.",A system with 2 poles and no zeros.,The Z-transform.,"A combination of exponential and constant functions, or more generally, functions whose derivatives are proportional to themselves.",B
Mathematics,"What is the Maclaurin series for 1/(1−x), and what is its interval of convergence?",G(s) / [1 + G(s)H(s)].,They are the roots of the denominator polynomial of the transfer function.,"Σ(from n=0 to ∞) x^n, for |x| < 1.",They are called the zeros of the closed-loop system.,C
Mathematics,How is conditional probability represented?,P(A|B) = P(A ∩ B) / P(B).,μ = n × p.,The Diffusion Equation or Heat Equation.,The direction of the gradient vector at that point.,A
Mathematics,How are the poles of a system determined?,It is a method that approximates the derivative of a function using discrete data points.,They are the roots of the denominator polynomial of the transfer function.,Their dot product is zero.,To determine the stability of a closed-loop control system for different values of a gain parameter.,B
Mathematics,"In a discrete uniform distribution with n outcomes, what is the probability of each outcome?",f'(x) = nx^(n−1).,Their dot product is zero.,1/n.,Truncation error.,C
Mathematics,What is the transfer function H(s) defined as?,The Superposition Principle.,A signal from the Time Domain to the Frequency Domain.,Cross-correlation is similar to convolution without the time-reversal of one of the signals.,The ratio of the Laplace transform of the output to the Laplace transform of the input.,D
Mathematics,What is the closed-loop transfer function for a system with forward gain G(s) and feedback H(s)?,The F-statistic.,G(s) / [1 + G(s)H(s)].,Fail to reject the null hypothesis.,"For a system described in state-space form, the poles are the eigenvalues of the system matrix.",B
